,show_id,type,title,director,cast,country,date_added,release_year,categories
3972,80082749,Movie,A Heavy Heart,Thomas Stuber,"Peter Kurth, Lena Lauzemis, Lina Wendel, Edin Hasanovic, Marko Dyrlich, Peter Schneider, Reiner Schöne, Udo Kroschwald",Germany,"February 15, 2017",2015,"Dramas, Independent Movies, International Movies"
3973,80065214,Movie,"Aram, Aram",Christopher Chambers,"John Roohinian, Levon Sharafyan, Sevak Hakoyan, David Villada, Mike Ghader, Razmik Mansuryan, Lorita Meg, Amy Sanders, Alla Tumanian",United States,"February 15, 2017",2015,"Dramas, Independent Movies"
3974,80152155,Movie,La Coppia dei Campioni,Giulio Base,"Massimo Boldi, Massimiliano Tortora, Anna Maria Barbera, Massimo Ceccherini, Pia Lanciotti, Flora Canto",Italy,"February 15, 2017",2016,"Comedies, International Movies"
3978,80167461,Movie,The Fury of a Patient Man,Raúl Arévalo,"Antonio de la Torre, Luis Callejo, Ruth Díaz, Raúl Jiménez, Manolo Solo, Font García, Pilar Gómez, Alicia Rubio",Spain,"February 15, 2017",2016,"International Movies, Thrillers"
3979,80157565,Movie,The Memory of Water,Matías Bize,"Elena Anaya, Benjamín Vicuña, Néstor Cantillana, Sergio Hernández, Silvia Marty, Etienne Bobenrieth, Antonia Zegers, Pablo Cerda","Chile, Spain, Argentina, Germany","February 15, 2017",2015,"Dramas, International Movies"
3982,81071972,Movie,Grass,Tanuj Chopra,"Emily Chang, Pia Shah, Anthony Ma",United States,"February 14, 2019",2017,"Comedies, Independent Movies"
3983,80244853,Movie,"Ken Jeong: You Complete Me, Ho",Jon M. Chu,Ken Jeong,United States,"February 14, 2019",2019,Stand-Up Comedy
3984,80167498,Movie,Chris Rock: Tamborine,Bo Burnham,Chris Rock,United States,"February 14, 2018",2018,Stand-Up Comedy
3985,80227304,Movie,Love Per Square Foot,Anand Tiwari,"Vicky Kaushal, Angira Dhar, Alankrita Sahai, Raghuvir Yadav, Ratna Pathak Shah, Supriya Pathak",India,"February 14, 2018",2018,"Comedies, International Movies, Romantic Movies"
3987,80081987,Movie,Girlfriend's Day,Michael Paul Stephenson,"Bob Odenkirk, Amber Tamblyn, Natasha Lyonne, Alex Karpovsky, Stacy Keach, Andy Richter, Ed Begley Jr., David Sullivan, Larry Fessenden, June Diane Raphael, Rich Sommer, Steven Michael Quezada, Echo Kellum, Stephanie Courtney, Toby Huss, Tucker Smallwood, Kevin O'Grady, Nate Mooney",United States,"February 14, 2017",2017,"Comedies, Independent Movies"
3988,80134968,Movie,Katherine Ryan: In Trouble,Colin Dench,Katherine Ryan,United Kingdom,"February 14, 2017",2017,Stand-Up Comedy
3989,80134887,Movie,Me and the Alien,Jesús Magaña Vázquez,"Ines De Tavira, Juan Pablo Campa, Paco de la Fuente, Juan Ugarte, Carlos Aragón, Gloria Toba, Jessy Bulbo, Tato Alexander, Fabiola Guajardo, Arturo Carmona",Mexico,"February 14, 2017",2016,"Comedies, Dramas, International Movies"
3991,80046696,Movie,Sister Code,Corey Grant,"Drew Sidora, Eva Marcille, Amber Rose, Marcus T. Paulk, Erica Ash, Essence Atkins, Amin Joseph, Rolonda Watts, Brooklyn McLinn, Don Hale Jr., Duane Martin, Anne-Marie Johnson",United States,"February 14, 2016",2015,"Comedies, Dramas, Romantic Movies"
3992,70118368,Movie,Merantau,Gareth Evans,"Iko Uwais, Sisca Jessica, Christine Hakim, Mads Koudal, Yusuf Aulia, Alex Abbad, Yayan Ruhian, Laurent Buson, Donny Alamsyah, Ratna Galih",Indonesia,"February 13, 2019",2009,"Action & Adventure, Dramas, International Movies"
3996,81012294,Movie,Ten Years,"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang","Wong Jing, Lau Ho-Chi, Leung Kin-Ping",Hong Kong,"February 12, 2019",2015,"Dramas, Independent Movies, International Movies"
3997,80013293,Movie,Clouds of Sils Maria,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet","France, Germany, Switzerland","February 12, 2017",2014,"Dramas, International Movies"
3998,80241304,Movie,We the Animals,Jeremiah Zagar,"Evan Rosado, Josiah Gabriel, Isaiah Kristian, Raúl Castillo, Sheila Vand, Giovanni Pacciarelli, Terry Holland, Moe Isaac, Mickey Anthony, Tom Malley",United States,"February 11, 2019",2018,"Dramas, Independent Movies"
3999,80147513,Movie,Stronger Than the World,Afonso Poyart,"José Loreto, Cleo Pires, Milhem Cortaz, Jackson Antunes, Claudia Ohana, Rômulo Arantes Neto, Paloma Bernardi, Thaila Ayala, Rafinha Bastos, Felipe Titto",Brazil,"February 11, 2017",2016,"Action & Adventure, Dramas, International Movies"
4001,80103818,Movie,David Brent: Life on the Road,Ricky Gervais,"Ricky Gervais, Doc Brown, Tom Basden, Jo Hartley, Tom Bennett, Andrew Brooke, Nina Sosanya, Andy Burrows, Kevin Bishop, Roisin Conaty, Diane Morgan, Ashley McGuire, Alexander Arnold, Mandeep Dhillon","United Kingdom, United States","February 10, 2017",2016,"Comedies, International Movies"
4004,80174429,TV Show,Metallica: Some Kind of Monster,"Joe Berlinger, Bruce Sinofsky","James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo",United States,"February 10, 2017",2014,TV Shows
4006,60022998,Movie,About a Boy,"Chris Weitz, Paul Weitz","Nicholas Hoult, Toni Collette, Victoria Smurfit, Sharon Small, Natalia Tena, Isabel Brook, Hugh Grant, Rachel Weisz, Nicholas Hutchison","United Kingdom, United States, France, Germany","February 1, 2019",2002,"Comedies, Dramas, International Movies"
4009,60003378,Movie,Billy Elliot,Stephen Daldry,"Jamie Bell, Gary Lewis, Stuart Wells, Billy Fane, Colin MacLachlan, Nicola Blackwell, Carol McGuigan, Joe Renton, Janine Birkett, Charlie Hardwick, Mike Elliot, Jean Heywood, Jamie Draven, Julie Walters, Trevor Fox, Adam Cooper","United Kingdom, France","February 1, 2019",2000,"Dramas, Independent Movies, International Movies"
4011,70132722,Movie,Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka","United States, Australia","February 1, 2019",2010,"Children & Family Movies, Comedies"
4012,81045891,Movie,Dear Ex,"Hsu Chih-yen, Mag Hsu","Roy Chiu, Hsieh Ying-xuan, Joseph Huang, Spark Chen",Taiwan,"February 1, 2019",2018,"Comedies, Dramas, International Movies"
4013,81059656,Movie,E-Cigarettes: Miracle or Menace?,Emma Hatherley,Michael Mosley,United Kingdom,"February 1, 2019",2016,Documentaries
4015,80080618,Movie,Guilty,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah, Atul Kumar, Gajraj Rao, Prakash Belawadi, Shishir Sharma, Tabu",India,"February 1, 2019",2015,"Dramas, International Movies"
4017,80994282,Movie,Have You Seen the Listers?,Eddie Martin,Anthony Lister,Australia,"February 1, 2019",2017,"Documentaries, International Movies"
4018,80220013,Movie,Heal,Kelly Noonan,"Kelly Noonan, Deepak Chopra, Michael Beckwith, Joe Dispenza, Dr. Jeffrey Thompson, Gregg Braden, Joan Borysenko, Marianne Williamson",United States,"February 1, 2019",2017,Documentaries
4020,80065492,Movie,Lego DC Comics: Batman Be-Leaguered,Rick Morales,"Dee Bradley Baker, Troy Baker, John DiMaggio, Grey DeLisle, Tom Kenny, Nolan North, Khary Payton, James Arnold Taylor",United States,"February 1, 2019",2014,Movies
4021,81050118,TV Show,Lego Friends: Girls on a Mission,"Andrew Tan, Stephen Murray","Jasmine St. Clair, Allegra Clark, Rosamund Marks, Faye Mata, Kira Buckland, David Roach, Bradley Venable",Denmark,"February 1, 2019",2018,Kids' TV
4022,81048914,Movie,LEGO Marvel Super Heroes: Black Panther,Michael D. Black,"James Mathis III, Keston John, Yvette Nicole Brown, Daisy Lightfoot, Isaac C. Singleton Jr., Trevor Devall, Liam O'Brien, Mick Wingert, Fred Tatasciore, Laura Bailey",United States,"February 1, 2019",2018,Children & Family Movies
4026,80220228,Movie,Malicious,Michael Winnick,"Bojana Novakovic, Josh Stewart, Delroy Lindo, Melissa Bolona, Yvette Yates, Luke Edwards, Jaqueline Fleming, Ben VanderMey, Presley Richardson, Joy Kate Lawson",United States,"February 1, 2019",2018,Horror Movies
4028,70101697,Movie,Ninja Assassin,James McTeigue,"Rain, Naomie Harris, Ben Miles, Rick Yune, Shô Kosugi, Sung Kang, Richard van Weyden, Thorston Manderlay, Wladimir Tarasjanz, Eleonore Weisgerber","Germany, United States","February 1, 2019",2009,Action & Adventure
4030,80106984,Movie,Personal Shopper,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz, Anders Danielsen Lie, Ty Olwin, Hammou Graïa, Nora von Waldstätten, Benjamin Biolay, Audrey Bonnet, Pascal Rambert","France, Germany, Czech Republic, Belgium","February 1, 2019",2016,"Dramas, International Movies, Thrillers"
4037,80104316,Movie,The Edge of Seventeen,Kelly Fremon Craig,"Hailee Steinfeld, Woody Harrelson, Kyra Sedgwick, Haley Lu Richardson, Blake Jenner, Hayden Szeto","United States, China","February 1, 2019",2016,"Comedies, Dramas"
4039,80208661,Movie,The Witch Files,Kyle Rankin,"Holly Taylor, Alice Ziolkoski, Britt Flatmo, Paget Brewster, Tara Robinson, Adrienne Rose White, Greg Finley, Valerie Mahaffey, Jared Boghosian, William Bornkessel",United States,"February 1, 2019",2018,"Horror Movies, Thrillers"
4040,81063480,Movie,Truckbhar Swapna,Pramod Pawar,"Makrand Deshpande, Kranti Redkar, Mukesh Rishi, Manoj Joshi, Smita Tambe, Aaditi Pohankar, Sahil Gilbile, Jyoti Joshi",India,"February 1, 2019",2018,"Comedies, Dramas, International Movies"
4042,80199689,Movie,Velvet Buzzsaw,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Toni Collette, John Malkovich, Natalia Dyer, Daveed Diggs, Tom Sturridge",United States,"February 1, 2019",2019,"Dramas, Thrillers"
4044,81059649,Movie,Why Are We Getting So Fat?,"Milla Harrison-Hansley, Alicky Sussman",Giles Yeo,United Kingdom,"February 1, 2019",2016,Documentaries
4047,80205451,Movie,42 Grams,Jack C. Newell,Jake Bickelhaupt,United States,"February 1, 2018",2017,Documentaries
4048,70045919,Movie,Æon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,"February 1, 2018",2005,"Action & Adventure, Sci-Fi & Fantasy"
4049,80141928,Movie,Before the Flood,Fisher Stevens,Leonardo DiCaprio,United States,"February 1, 2018",2016,Documentaries
4050,80198055,Movie,Emo the Musical,Neil Triffett,"Benson Jack Anthony, Jordan Hare, Rahart Adams, Jon Prasida, Lucy Barrett, Ben Bennett, Craig Hyde-Smith, Geraldine Viswanathan, Kevin Clayette, Bridie Carter",Australia,"February 1, 2018",2016,"Dramas, International Movies, Music & Musicals"
4052,80195654,Movie,How the Beatles Changed the World,Tom O'Dell,"George Harrison, John Lennon, Ringo Starr, Paul McCartney, Brian Epstein","United States, United Kingdom","February 1, 2018",2017,"Documentaries, Music & Musicals"
4053,80170992,Movie,Inxeba,John Trengove,"Nakhane Touré, Bongile Mantsai, Niza Jay, Thobani Mseleni, Gamelihle Bovana, Halalisani Bradley Cebekhulu, Inga Qwede, Sibabalwe Ngqayana, Siphosethu Ngcetane, Zwelakhe Mtsaka","South Africa, Germany, Netherlands, France","February 1, 2018",2017,"Dramas, Independent Movies, International Movies"
4057,80163352,Movie,Master,Ui-seok Jo,"Byung-hun Lee, Dong-won Gang, Woo-bin Kim, Ji-won Uhm, Dal-su Oh, Kyung Jin, Gang Dong-won",South Korea,"February 1, 2018",2016,"Action & Adventure, International Movies"
4059,80217040,Movie,National Parks Adventure,Greg MacGillivray,Robert Redford,United States,"February 1, 2018",2016,Documentaries
4060,80172958,Movie,Newness,Drake Doremus,"Nicholas Hoult, Laia Costa, Danny Huston, Courtney Eaton, Matthew Gray Gubler, Albert Hammond Jr.",United States,"February 1, 2018",2017,"Dramas, Independent Movies, Romantic Movies"
4061,80171291,Movie,Paint It Black,Amber Tamblyn,"Alia Shawkat, Janet McTeer, Rhys Wakefield, Alfred Molina, Emily Rios, Nancy Kwan, John Roberts, Annabelle Attanasio, Ken Davitian",United States,"February 1, 2018",2016,Dramas
4062,80234290,TV Show,Revolting Rhymes,"Jani Lachauer, Jakob Schuh","Rob Brydon, Bertie Carvel, Gemma Chan, Dominic West, Isaac Hempstead Wright, Bel Powley, Tamsin Greig, Rose Leslie, David Walliams",United Kingdom,"February 1, 2018",2017,"British TV Shows, Kids' TV"
4065,80005332,TV Show,Camelia la Texana,Carlos Bolado,"Sara Maldonado, Erik Hayser, Andrés Palacios, Dagoberto Gama, Luis Ernesto Franco, Arcelia Ramírez, Eréndira Ibarra","Mexico, United States","February 1, 2017",2014,"Crime TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
4066,80060060,Movie,Chauthi Koot,Gurvinder Singh,"Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi","India, France","February 1, 2017",2015,"Dramas, Independent Movies, International Movies"
4067,80091866,Movie,Dilwale,Rohit Shetty,"Shah Rukh Khan, Kajol, Kriti Sanon, Kabir Bedi, Varun Dhawan, Boman Irani, Johnny Lever, Varun Sharma, Sanjay Mishra, Vinod Khanna, Mukesh Tiwari, Pankaj Tripathi, Shawar Ali",India,"February 1, 2017",2015,"Action & Adventure, Dramas, International Movies"
4069,80017528,Movie,Happy New Year,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Sonu Sood, Boman Irani, Vivaan Shah",India,"February 1, 2017",2014,"Action & Adventure, Comedies, Dramas"
4070,80095530,Movie,Haraamkhor,Shlok Sharma,"Nawazuddin Siddiqui, Shweta Tripathi, Harish Khanna, Irfan Khan, Trimala Adhikari, Mohd Samad",India,"February 1, 2017",2015,"Dramas, Independent Movies, International Movies"
4071,80093105,Movie,Heroes Wanted,Joaquín Mazón,"María León, Miki Esparbé, Jordi Sánchez, Andoni Agirregomezkorta, Juan Carlos Aduviri, Sílvia Abril, Carlos Areces, Joaquín Reyes",Spain,"February 1, 2017",2016,"Action & Adventure, Comedies, International Movies"
4074,80127604,Movie,Indiscretion,John Stewart Muller,"Mira Sorvino, Cary Elwes, Christopher Backus, Katherine McNamara, Lisa Gay Hamilton, Melora Walters, Buck Taylor, Shane Callahan",United States,"February 1, 2017",2016,"Dramas, Thrillers"
4075,80156767,Movie,La Última Fiesta,"Leandro Mark, Nicolás Silbert","Nicolás Vázquez, Alan Sabbagh, Benjamín Amadeo, Eva De Dominici, César Bordón, Julian Kartun, Paula Carruega, Luciano Rossi, Ezequiel Campa",Argentina,"February 1, 2017",2016,"Comedies, International Movies"
4076,80159668,Movie,Maroon,Pulkit,"Manav Kaul, Devyani Cm, Saurabh Sachdeva, Sarika Singh, Suneel Sinha, Sumeet Vyas",India,"February 1, 2017",2016,"Dramas, Independent Movies, International Movies"
4080,80152745,Movie,The Hurt Business,Vlad Yudin,Kevin Costner,United States,"February 1, 2017",2016,"Documentaries, Sports Movies"
4081,80167843,Movie,The Reconquest,Jonás Trueba,"Francesco Carril, Itsaso Arana, Candela Recio, Pablo Hoyos, Aura Garrido",Spain,"February 1, 2017",2016,"Dramas, International Movies, Romantic Movies"
4082,70306702,Movie,Zapped,Peter DeLuise,"Zendaya, Chanelle Peloso, Spencer Boldman, Emilia McCarthy, Adam DiMarco, William Ainscough, Aleks Paunovic, Lucia Walters","Canada, United States","February 1, 2017",2014,"Children & Family Movies, Comedies"
4085,81004748,Movie,A Family Reunion Christmas,Robbie Countryman,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Jackée Harry, Richard Roundtree",United States,"December 9, 2019",2019,Movies
4086,80174959,Movie,It Comes at Night,Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough, Kelvin Harrison Jr., David Pendleton, Griffin Robert Faulkner",United States,"December 9, 2019",2017,"Horror Movies, Independent Movies"
4087,80225595,Movie,Entanglement,Jason James,"Thomas Middleditch, Jess Weixler, Diana Bang, Randal Edwards, Marilyn Norry, Johannah Newmarch, Nicole LaPlaca",Canada,"December 9, 2018",2018,"Dramas, Independent Movies, Romantic Movies"
4090,80160347,Movie,Mariah Carey's Merriest Christmas,James Yukich,"Mariah Carey, Lacey Chabert, Kelsey Grammer, Billy Gardell, Fina Strazza, Kenneth Edmonds, Cameron Mathison, Brennan Elliott",United States,"December 9, 2016",2015,"Children & Family Movies, Music & Musicals"
4091,80098200,Movie,Spectral,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini, Clayne Crawford, Cory Hardrict, Louis Ozawa Changchien, Jimmy Akingbola, Dylan Smith, Philip Bulcock","United States, Hungary","December 9, 2016",2016,"Action & Adventure, Sci-Fi & Fantasy"
4093,80081410,Movie,"Trailer Park Boys: Drunk, High and Unemployed: Live in Austin","Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Tom Green, Verne Troyer, Jonathan Torrens",Canada,"December 9, 2015",2015,"Comedies, International Movies"
4094,70117322,Movie,From Paris with Love,Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin, Amber Rose Revah, Eric Godon, François Bredon, Chems Dahmani, Sami Darr, Didier Constant",France,"December 8, 2019",2010,"Action & Adventure, International Movies"
4095,81157385,Movie,Saaho,Sujeeth,"Prabhas, Shraddha Kapoor, Jackie Shroff, Chunky Pandey, Neil Nitin Mukesh, Arun Vijay, Vennela Kishore, Murli Sharma, Lal, Prakash Belawadi, Mahesh Manjrekar, Tinnu Anand",India,"December 8, 2019",2019,"Action & Adventure, International Movies"
4096,81033201,Movie,Because of Soccer,"Agasyah Karim, Khalid Kashogi","Herjunot Ali, Winky Wiryawan, Erly Ashy, Laura Basuki, Tarzan, Aida Nurmala, Otto Djauhari, Indra Herlambang",Indonesia,"December 8, 2018",2008,"Comedies, Dramas, International Movies"
4097,70253594,Movie,The Art of the Steal,Jonathan Sobol,"Kurt Russell, Jay Baruchel, Katheryn Winnick, Chris Diamantopoulos, Kenneth Welsh, Jason Jones, Terence Stamp, Matt Dillon, Devon Bostick","Canada, United States","December 8, 2018",2013,"Action & Adventure, Comedies, Independent Movies"
4098,70266069,Movie,The Dancer,Ifa Isfansyah,"Prisia Nasution, Oka Antara, Slamet Rahardjo, Dewi Irawan, Lukman Sardi, Tio Pakusadewo",Indonesia,"December 8, 2018",2011,"Dramas, International Movies, Romantic Movies"
4099,70035037,Movie,The Gathering,Nia Dinata,"Cut Mini Theo, Tora Sudiro, Aida Nurmala, Surya Saputra, Rachel Maryam Sayidina, Trey Gondokusumo, Lili Harahap, Aurora Yahya, Wilza Lubis, Nico Siahaan",Indonesia,"December 8, 2018",2003,"Comedies, Dramas, International Movies"
4100,81016342,Movie,What's Up With Love?,"Rudy Soedjarwo, Riri Riza","Dian Sastrowardoyo, Nicholas Saputra, Ladya Cheryll, Titi Kamal, Sissy Priscillia, Adinia Wirasti, Dennis Adhiswara",Indonesia,"December 8, 2018",2002,"Dramas, International Movies, Romantic Movies"
4101,70152959,Movie,Delhi Belly,Abhinay Deo,"Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury, Poorna Jagannathan, Kim Bodnia, Paresh Ganatra, Vijay Raaz",India,"December 8, 2017",2011,"Action & Adventure, Comedies, International Movies"
4102,70144331,Movie,Dhobi Ghat (Mumbai Diaries),Kiran Rao,"Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik Babbar, Aasha Pawar, Jyoti Pawar, Norma Lobo, Kitu Gidwani, Danish Hussain, Jehan Manekshaw",India,"December 8, 2017",2010,"Dramas, International Movies"
4103,80178974,Movie,El Camino Christmas,David E. Talbert,"Jessica Alba, Tim Allen, Dax Shepard, Vincent D'Onofrio, Luke Grimes, Kurtwood Smith, Michelle Mylett",United States,"December 8, 2017",2017,"Comedies, Dramas"
4104,80157086,Movie,Jaal,Umesh Mehra,"Jeetendra, Mithun Chakraborty, Rekha, Mandakini, Moon Moon Sen, Vinod Mehra, Tanuja, Amrit Pal",India,"December 8, 2017",1986,"Action & Adventure, International Movies"
